0.8862,-0.0168,10.1261,-0.1178,-0.0011,-0.0013
0.8071,0.0048,10.0399,-0.1175,-0.0011,-0.0019
0.8454,0.0072,10.0902,-0.1183,-0.0029,-0.0027
0.8526,0.0192,9.9010,-0.1183,-0.0003,-0.0024
0.8407,0.0766,10.1094,-0.1199,0.0003,-0.0003
0.8766,0.0240,10.0112,-0.1191,-0.0037,-0.0008
0.8383,0.0240,10.0806,-0.1164,0.0005,-0.0021
0.8742,0.0311,10.1214,-0.1162,0.0011,-0.0013
0.8694,-0.0120,10.0495,-0.1188,-0.0040,-0.0005
0.8646,0.0144,10.0567,-0.1180,-0.0027,-0.0019
0.8981,0.0479,10.0160,-0.1180,-0.0016,-0.0021
0.8957,-0.0192,10.0351,-0.1191,-0.0019,-0.0005
0.8143,-0.0192,10.0112,-0.1170,0.0008,0.0005
0.8981,0.0216,10.0279,-0.1154,-0.0035,-0.0011
0.8957,0.0000,10.1788,-0.1183,-0.0021,-0.0027
0.9149,0.0240,9.9777,-0.1202,-0.0048,-0.0011
0.8502,0.0599,10.0447,-0.1180,-0.0021,-0.0024
0.8766,0.0192,10.1693,-0.1178,-0.0037,-0.0027
0.8119,-0.0216,10.1118,-0.1196,-0.0024,-0.0024
0.8095,0.0024,10.0184,-0.1167,-0.0051,0.0000
0.8957,0.0479,9.9465,-0.1178,-0.0040,-0.0019
0.9556,0.0072,10.0136,-0.1188,-0.0016,-0.0021
0.8742,-0.0168,10.0974,-0.1191,0.0019,-0.0013
0.8047,-0.0048,10.0279,-0.1188,-0.0035,-0.0008
0.8766,-0.0575,10.1477,-0.1175,-0.0008,-0.0024
0.8670,0.0311,10.0040,-0.1196,-0.0008,0.0005
0.8574,0.0263,10.0136,-0.1178,-0.0027,-0.0013
0.8502,-0.0742,10.0232,-0.1191,0.0011,-0.0029
0.9005,-0.0072,10.0615,-0.1172,0.0005,-0.0005
0.8359,0.0383,9.9729,-0.1156,-0.0027,-0.0011
0.8502,-0.0527,9.9441,-0.1194,0.0019,-0.0032
0.7928,-0.0287,10.1166,-0.1178,0.0027,0.0000
0.8239,0.0192,10.0782,-0.1202,-0.0040,0.0021
0.9173,0.0311,10.0758,-0.1191,-0.0016,-0.0029
0.9029,-0.0192,10.0399,-0.1207,0.0000,0.0003
0.8742,-0.0479,10.0399,-0.1202,0.0011,0.0019
0.8622,0.0862,10.0232,-0.1186,-0.0011,-0.0021
0.8430,0.0048,10.0926,-0.1172,-0.0019,-0.0021
0.8694,-0.0359,10.0711,-0.1188,-0.0005,-0.0029
0.9077,0.0048,9.9393,-0.1196,-0.0035,-0.0008
0.8646,0.0455,10.0160,-0.1196,-0.0037,-0.0008
0.8862,-0.0168,10.0375,-0.1212,-0.0011,-0.0011
0.8502,0.0096,9.9777,-0.1178,0.0003,-0.0005
0.8335,0.0048,10.0375,-0.1159,-0.0024,-0.0005
